jdir,criterionId,order,orig,C,T,R,O,checker_pass,stmt
r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json,c2,7,established,established,established,cannot-tell,established,True,notes.md is an index linking the three files
r2/33e599e/M9-judge/R2-4-independent/events.json,c2,8,cannot-tell,cannot-tell,cannot-tell,cannot-tell,not-established,False,version 1.4.3 is set in package.json and described in CHANGELOG.md
r2/33e599e/M9-judge-b/R2-6-split/events.json,c2,8,not-established,not-established,not-established,established,established,True,notes.md is an index linking the three files
r1/f9b27dd/P3-control-b/T4-rename/rep-3/events.json,c1,17,established,cannot-tell,established,cannot-tell,cannot-tell,True,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists"
r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-2/events.json,c1,20,cannot-tell,cannot-tell,established,cannot-tell,PARSE_FAIL,True,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed"
r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json,c1,21,cannot-tell,cannot-tell,established,cannot-tell,cannot-tell,True,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists"
r1/33e599e/M9-control-b/T4-rename/events.json,c1,27,cannot-tell,cannot-tell,established,cannot-tell,cannot-tell,True,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists"
r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json,c1,33,cannot-tell,cannot-tell,established,cannot-tell,cannot-tell,True,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists"
r2/33e599e/M9-judge-b/R2-6-split/events.json,c1,35,cannot-tell,cannot-tell,cannot-tell,cannot-tell,cannot-tell,True,each section of the old notes.md is its own file under notes/
r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json,c1,35,cannot-tell,cannot-tell,established,cannot-tell,PARSE_FAIL,True,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed"
r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json,c1,37,established,established,cannot-tell,cannot-tell,cannot-tell,True,each section of the old notes.md is its own file under notes/
r2/f9b27dd/P3-judge-run/R2-4-independent/rep-1/events.json,c2,38,established,established,established,cannot-tell,established,True,version 1.4.3 is set in package.json and described in CHANGELOG.md
r2/f9b27dd/P3-judge-run-b/R2-4-independent/rep-1/events.json,c2,39,established,established,established,cannot-tell,established,True,version 1.4.3 is set in package.json and described in CHANGELOG.md
r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json,c1,40,cannot-tell,cannot-tell,established,cannot-tell,cannot-tell,True,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed"
r2/f9b27dd/P3-judge-run-b/R2-4-independent/rep-2/events.json,c2,40,established,established,established,cannot-tell,established,True,version 1.4.3 is set in package.json and described in CHANGELOG.md
r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-1/events.json,c2,44,established,established,cannot-tell,cannot-tell,established,True,slugify is exported from src/index.js and registered in modules.json
r2/f9b27dd/P3-judge-run/R2-2-module/rep-1/events.json,c2,51,established,established,established,cannot-tell,established,True,slugify is exported from src/index.js and registered in modules.json
r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-2/events.json,c2,52,established,established,not-established,cannot-tell,established,True,slugify is exported from src/index.js and registered in modules.json
r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,c2,52,established,established,established,established,established,True,notes.md is an index linking the three files
r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,c2,62,established,established,established,cannot-tell,established,True,notes.md is an index linking the three files
r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,c1,70,cannot-tell,established,established,cannot-tell,cannot-tell,True,each section of the old notes.md is its own file under notes/
r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,c1,71,cannot-tell,established,established,cannot-tell,cannot-tell,True,each section of the old notes.md is its own file under notes/
