jdir,id,criterionId,stmt,order,orig,armT3,nT3,gap
r1/33e599e/M9-control-b/T4-rename/events.json,T4-rename-e2-e17,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",17,cannot-tell,established,4,True
r1/33e599e/M9-control-b/T4-rename/events.json,T4-rename-e5-e18,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",18,cannot-tell,established,4,True
r1/33e599e/M9-control-b/T4-rename/events.json,T4-rename-e5-e27,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",27,cannot-tell,established,4,True
r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json,T4-rename-e5-e17,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",17,cannot-tell,established,4,True
r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json,T4-rename-e5-e21,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",21,cannot-tell,cannot-tell,4,True
r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json,T4-rename-e5-e25,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",25,cannot-tell,established,4,True
r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json,T4-rename-e5-e29,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",29,cannot-tell,established,4,True
r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json,T4-rename-e5-e33,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",33,cannot-tell,established,4,True
r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json,T4-rename-e2-e13,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",13,cannot-tell,established,3,True
r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json,T4-rename-e2-e17,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",17,cannot-tell,established,4,True
r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json,T4-rename-e5-e17,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",17,cannot-tell,established,4,True
r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json,T4-rename-e5-e21,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",21,cannot-tell,established,4,True
r1/f9b27dd/P3-control-b/T4-rename/rep-3/events.json,T4-rename-e2-e13,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",13,cannot-tell,established,3,True
r1/f9b27dd/P3-control-b/T4-rename/rep-3/events.json,T4-rename-e2-e17,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",17,established,established,4,True
r2/33e599e/M9-judge-b/R2-6-split/events.json,R2-6-split-e2-e7,c1,each section of the old notes.md is its own file under notes/,7,cannot-tell,cannot-tell,1,False
r2/33e599e/M9-judge-b/R2-6-split/events.json,R2-6-split-e2-e8,c2,notes.md is an index linking the three files,8,not-established,not-established,1,False
r2/33e599e/M9-judge-b/R2-6-split/events.json,R2-6-split-e2-e15,c1,each section of the old notes.md is its own file under notes/,15,cannot-tell,cannot-tell,1,False
