id,orig,C,T,R,nC,nT,nR,jdir,checker_pass,cid,order,crit_key,criterionId,stmt,armT3,nT3,gap,transitional
T4-rename-e2-e17,cannot-tell,cannot-tell,established,cannot-tell,1,3,3,r1/33e599e/M9-control-b/T4-rename/events.json,True,T4-rename-e2,17,r1/33e599e/M9-control-b/T4-rename/events.json|T4-rename,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",established,4,True,True
T4-rename-e5-e18,cannot-tell,cannot-tell,established,cannot-tell,1,6,2,r1/33e599e/M9-control-b/T4-rename/events.json,True,T4-rename-e5,18,r1/33e599e/M9-control-b/T4-rename/events.json|T4-rename,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",established,4,True,True
T4-rename-e5-e27,cannot-tell,cannot-tell,established,cannot-tell,1,7,1,r1/33e599e/M9-control-b/T4-rename/events.json,True,T4-rename-e5,27,r1/33e599e/M9-control-b/T4-rename/events.json|T4-rename,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",established,4,True,True
T4-rename-e5-e17,cannot-tell,cannot-tell,established,cannot-tell,2,3,3,r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json,True,T4-rename-e5,17,r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json|T4-rename,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",established,4,True,True
T4-rename-e5-e21,cannot-tell,cannot-tell,established,cannot-tell,3,4,4,r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json,True,T4-rename-e5,21,r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json|T4-rename,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",cannot-tell,4,True,True
T4-rename-e5-e25,cannot-tell,cannot-tell,established,cannot-tell,3,5,3,r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json,True,T4-rename-e5,25,r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json|T4-rename,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",established,4,True,True
T4-rename-e5-e29,cannot-tell,cannot-tell,established,cannot-tell,3,6,2,r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json,True,T4-rename-e5,29,r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json|T4-rename,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",established,4,True,True
T4-rename-e5-e33,cannot-tell,cannot-tell,established,cannot-tell,3,7,1,r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json,True,T4-rename-e5,33,r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json|T4-rename,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",established,4,True,True
T4-rename-e2-e13,cannot-tell,cannot-tell,established,cannot-tell,1,2,2,r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json,True,T4-rename-e2,13,r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json|T4-rename,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",established,3,True,True
T4-rename-e2-e17,cannot-tell,cannot-tell,established,cannot-tell,2,3,3,r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json,True,T4-rename-e2,17,r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json|T4-rename,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",established,4,True,True
